OPENSTUDIO_VERSION," OPENSTUDIO_VERSION_EXT",OPENSTUDIO_DOWNLOAD_URL,OS_BUNDLER_VERSION," PYTHON_VERSION",RUBY_VERSION,RUBY_DOWNLOAD_URL,RUBY_GEMS,PACKAGES
3.8.0,,https://openstudio-ci-builds.s3.amazonaws.com/develop/OpenStudio-3.8.0%2Bf953b6fcaf-Ubuntu-20.04-x86_64.deb,2.4.10,3.12,3.2.2,https://cache.ruby-lang.org/pub/ruby/3.2/ruby-3.2.2.tar.gz,nokogiri:1.13.10 solargraph:0.50.0 debug:1.9.2,curl gdebi-core libsqlite3-dev libssl-dev libffi-dev build-essential zlib1g-dev vim git locales sudo gawk ca-certificates software-properties-common libyaml-dev
3.7.0,,https://github.com/NREL/OpenStudio/releases/download/v3.7.0/OpenStudio-3.7.0+d5269793f1-Ubuntu-20.04-x86_64.deb,2.1.4,3.12,2.7.2,"https://cache.ruby-lang.org/pub/ruby/2.7/ruby-2.7.2.tar.gz ",nokogiri:1.13.10 solargraph:0.50.0 debug:1.9.2,curl gdebi-core libsqlite3-dev libssl-dev libffi-dev build-essential zlib1g-dev vim git locales sudo gawk ca-certificates software-properties-common libyaml-dev
